"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30"
"MCP_55008",-0.0309165567289494,0.0345988194781588,-0.0650284551139447,-0.0578012181932513,0.0186475350391763,0.0403076383244421,0.0244696994795008,-0.0264053273364624,0.0513862160139242,-0.041906559800477,0.0308634474332778,-0.0242308193179198,-0.0233020399136426,-0.0208250538832263,-0.0195058619605453,0.0132442698136516,-0.000765369188819763,0.0201971476152981,0.00945733238662432,0.0086619626844764,0.00221003342083545,0.00811135023196136,-0.00103851398115099,-0.00175365712701759,0.000737406964436983,0.00537195778500229,-0.0060645938412246,-0.00276497611952878,0.00201352962642087,-0.00663080131824889
"AMNH_255205",-0.0485194667339766,0.158019986080831,-0.0188897286850007,0.0609687463897651,-0.00405576176391049,0.0197220696116953,-0.0509929245257927,-0.00464026122241541,0.0241974123143263,0.0028963394693486,0.0111614808926449,-0.0456482668056317,-0.0185608898791209,0.00372470848593307,0.00521020808258409,0.00554572631623336,-0.00663559480474556,0.016773183278627,0.0079228101558045,-0.00715565172783419,6.24978615140405e-05,0.000486606579538388,-0.00786452026304562,-0.0031780481979133,-0.00225063362503278,-0.00822861744170511,0.00358805449257677,0.00341449029919035,-0.00309461261848437,-0.00107297839002912
"ANSP_168961",-0.0357062689033589,0.150314268892523,0.024630246306114,0.0332130944108603,-0.000700302399642516,0.033790615093732,-0.0117870902746604,-0.0130785235931285,0.0114260032804015,0.00276694793746095,0.0123024223109688,-0.0260853338988185,-0.000276024998950523,-0.0110784189494734,-0.000545220075188688,-0.0065173196929691,0.0219322088667926,-0.0273993783104506,5.46798818212425e-05,0.00575099946840663,-0.00144718626002839,0.00251611170116184,-0.00727918689920576,0.00241599122199905,0.0130277312200162,-0.00827942875891191,0.00902720478652336,-0.00469963426470475,-0.00405269625198985,-0.0064141642409845
"AMNH_238571",-0.0328600221209236,0.123888795916522,0.0863807091030901,0.0914312740831463,0.0722791199371294,0.0286450750364867,-0.0350022370390274,-0.0118713324481748,-0.0193493787853645,-0.0196024705957539,0.0308845059630884,-0.04221556862615,0.0736271355088671,-0.0439220824381322,-0.0131147565705279,-0.0322396222395128,0.0182546713848165,-0.00164381607797144,0.0262492955044366,-0.00934189933593758,-0.00195763367874682,0.00422597921215418,0.00182635165678304,-0.00307098694926964,-0.00569893632297217,-0.00421070621828106,0.00365356292186167,0.000982700101594954,-0.00037809761542918,-0.00631382048664811
"AMNH_238573",-0.0498126869339685,0.0929542206352751,0.0818919106215848,0.113025646639293,0.0415416996006496,-0.0373741756605381,-0.0398396784036065,-0.0222682527619868,-0.0613623837272161,-0.0156529450164984,0.0503807594339438,-0.0192057738144471,0.011949204821267,0.00783253523750952,0.0036296701407532,-0.032789042950293,0.0132305561344746,-0.0143811134466094,0.011272435084326,0.0343615872475036,-0.00896600808813669,-0.0127802082307446,0.00655565591803937,-0.00266527346129869,-0.00889942977330176,-0.0100906438839631,0.00166269492200682,0.0055362709910796,-0.00325141052253671,-0.00903402230176067
"ANSP_168965",0.00571689999355025,0.134278347398684,-0.100986343873543,-0.0309883808314688,-0.0518890365792483,0.0514141760903504,0.0200658181189945,-0.00565579468065819,0.0101898695716747,0.00620322867056952,0.00956409658277059,-0.00538322008508138,-0.00185538123615494,-0.0709534149598379,0.00207020210887104,0.0165958631532843,0.0157622658145171,0.00796730669260225,0.0117656805568713,0.0116829519254779,-0.00484984262475357,0.0149711714032976,0.00580801039489139,0.00902927085396506,-0.00470613347123845,0.00985895191199348,0.00813070637504229,0.0012540430700753,0.00853428520075026,0.00158727640101165
"ANSP_174078",-0.10553343503686,0.0905032788969474,0.117502667721909,0.0813316866171424,0.0705896428697442,-0.0146988356989652,0.0201270591530195,-0.0171683877350287,0.0109474430983888,-0.0443758985751419,0.0668806790676713,0.0125252383556868,0.0109498608675106,0.00634960136948371,-0.00643413111044682,-0.0208934482883255,0.017909727935879,-0.0279440528208392,-0.0132640365489546,0.00791740881505451,0.00566211803175591,0.0135518517285852,-0.00795949605730053,-0.00109153076123215,0.0017130227199291,-0.00108056470281662,-0.0013395345595335,-0.00186065920188171,0.00578818594837949,-0.00352872216002954
"ANSP_187156",-0.0428658613887952,0.113557685500913,-0.0163357079375479,0.0454594753630146,0.00457153739426934,0.00998062225810403,-0.00932311221003143,-0.0393929670114909,-0.0164476346530456,-0.0257940924490343,-0.0326571108761125,-0.0263238641998455,-0.0469605913512948,0.0178070075141205,0.0105331129328043,0.0192231451821658,0.000367544964304543,0.0251617164901144,0.00144873899793424,-0.00151110294396659,-0.000267041698758381,0.0103334128488905,0.00379833652371286,0.00284297643864932,-0.00639845848415022,-0.00190674397019295,-0.00474591152116347,0.00543613527087591,-0.00157687382527257,0.00132417400820887
"ANSP_198032",-0.130135726579739,0.01610636796312,0.131472342532852,0.0803058339621569,0.0378187628690684,-0.0548602648958223,-0.037424585358986,-0.0280178221022723,-0.025039146455042,-0.020977008115202,0.023296077774271,-0.0183706379718156,0.0241957407535032,-0.00360828795541583,-0.0125310723683637,-0.00410471186482867,-0.00284829819560428,-0.0138193864302482,0.00869911200182488,0.0168520133286256,0.0132439639856313,0.00443269577578877,-0.00307350440398885,-0.000297983739800966,0.00653542814759064,-0.00836698768857365,0.00250557772531502,-0.00819686472008564,-0.00333646132301952,0.00638209003127665
"ANSP_187011",0.0314801627874297,0.172747726203604,0.0475547423466065,0.0143705945583229,-0.0315823193334301,0.0109765310033824,-0.00999115301070043,-0.00924957035360238,0.00460613932852355,0.0267049346611226,0.00375989595007732,0.00890928848158924,-0.0370826923567599,-0.0257797239183792,-0.0138548210787686,0.0170709914122073,0.0112398434522679,-0.0123364821880912,0.00760289310787811,-0.00354788285737821,-0.0019450102740505,0.00194063263739226,-0.0246133239077652,-0.00931985693205633,0.00238529202359642,0.00396388803073952,0.00569439425799018,-0.0160445466544014,0.0166095459758042,0.00335588307186562
