"","sp_rich","replicate","avg_nnd","sd_nnd","hv3d","hv6d","cd","comp1_cen","comp2_cen","comp3_cen","comp4_cen","comp5_cen","comp6_cen"
"94",2,94,0.481926101195892,0,NA,NA,0.30039801449654,-0.105344041090635,-0.0945035946300243,-0.0195263764906935,0.0247625428048001,0.00380120233454585,0.0272555512073203
"95",2,95,0.416888244561281,0,NA,NA,0.321770945883681,0.120964904423553,-0.052622325579774,0.0197832715177335,-0.0278954115461942,0.0113054748625537,-0.0082438623413376
"96",2,96,0.185710146461727,0,NA,NA,0.136072634631906,-0.00669099716747876,0.0638839959620112,0.0394696265682949,-0.0136868815190088,0.00732501574719421,-0.0170736563048558
"97",2,97,0.153762569450283,0,NA,NA,0.187814660903919,-0.0296749367547088,0.0807831002190623,-0.0715546463328649,-0.0229551650004818,-0.0321343804312094,0.0296104024370671
"98",2,98,0.216624819567454,0,NA,NA,0.176139018807059,-0.0552387880256717,0.0585298769458656,0.0427595811152017,0.0302115028703011,0.0365432613798886,0.0342366651156764
"99",2,99,0.491749132642406,0,NA,NA,0.422462909297388,0.09481638490067,-0.111282177502985,0.0427832412454757,-0.0071157622352353,-0.0623086907516136,-0.0211852373830608
"100",2,100,0.224324782436837,0,NA,NA,0.206633894079387,-0.0018981268173303,0.0696756306822427,0.019676051844611,-0.0145227293897366,-0.0776007781035089,-0.0388485074927378
"101",2,101,0.442287644110036,0,NA,NA,0.295647586729649,-0.128798852948956,-0.137758881826811,-0.0685967726042559,0.0187556824313734,0.0390223895606982,0.0609389138207714
"102",2,102,0.300691358242111,0,NA,NA,0.209934713865931,0.0267879327587754,0.0792831186861474,-0.00745480565749405,-0.0469950213097148,0.00853448704506696,0.0056078822132931
"103",2,103,0.53478980269355,0,NA,NA,0.352129728981094,0.0484343299025825,-0.0771176383973584,0.0784570532342058,0.0116534040616694,0.0435730134481036,0.0243316196216568
"104",2,104,0.150075313628047,0,NA,NA,0.156391994785328,-0.0546519739424495,0.0102466033864904,0.0430507590493766,-0.0466636800770315,-0.0182830099463887,-0.0487219880294297
"105",2,105,0.172328104800807,0.215683672550115,NA,NA,0.277884909918497,0.149690997973522,0.0247269469138339,-0.021492135341397,0.0154563631701152,-0.0317908983556805,0.00215599742786812
"106",2,106,0.322162328090572,0,NA,NA,0.201647324576205,-0.0342151668461968,0.0302133849604917,-0.0139807069106234,-0.015453694796988,-0.0108301982782394,0.028031988753566
"107",2,107,0.28842230661491,0,NA,NA,0.181528091386075,-0.0514916744076107,0.0319247623481436,0.0517489777192313,0.00537677160850805,-0.0025149115205839,-0.027205904966137
"108",2,108,0.306240682104166,0,NA,NA,0.210220270682484,-0.0881495091341438,0.0836295020798966,0.0325175182460448,0.0235673516808803,0.000692536181673101,-0.0275137386261275
"109",2,109,0.176444239401003,0,NA,NA,0.148299556945444,-0.138229620839062,-0.037684431074834,-0.00538894539492365,-0.0568285949730275,-0.0153688203429975,-0.0296484789230084
"110",2,110,0.376203111528193,0,NA,NA,0.346725445944998,-0.21031900754803,-0.0294006379258788,0.0406393002205408,0.0477933568673089,0.0200361802990335,0.00620045617844805
"111",2,111,0.175547999801297,0.17818841758013,NA,NA,0.211127232878069,0.0660021560025235,-0.0182662981576432,-0.00841051898840257,-0.0371924837974543,-0.0135101606907088,0.0173074613271734
"112",2,112,0.129988656588863,0.0872491038349271,NA,NA,0.420813700930144,0.264862269886214,-0.150068603051873,0.0422291548221373,0.0778035851312577,-0.0383351031737224,-0.0314162799116101
"113",2,113,0.33145212664371,0,NA,NA,0.224915220231274,-0.0686099622480085,0.0806171821313443,0.0146802915931445,0.0495811643023791,-0.0358064257391544,-0.0133381131113169
"114",2,114,0.29887247904162,0,NA,NA,0.199230775465927,-0.0513416918600017,0.0990095381800132,0.0763952706852909,0.0502059668851123,-0.00708703476993355,-0.0377678981227265
"115",2,115,0.321462182196013,0,NA,NA,0.219952105735942,0.110946062436835,0.0428667851243611,0.0296349194062562,-0.0185698084040339,-0.00315585502609483,-0.0560139406882332
"116",2,116,0.424685785926775,0,NA,NA,0.273561210602431,-0.018292801689785,-0.0602815318978203,-0.09817341115873,0.0363718866769322,0.0389401052599016,-0.049717612783661
"117",2,117,0.103268323335088,0.0731294118521938,0.000100072753131208,NA,0.171416580364193,0.0499772456830777,-0.00946552690680586,-0.00204888944734536,-0.0534375477657347,0.0311888825842726,-0.0401563246700835
"118",2,118,0.175547999801297,0.17818841758013,NA,NA,0.161673772230242,0.0660021560025235,-0.0182662981576432,-0.00841051898840257,-0.0371924837974543,-0.0135101606907088,0.0173074613271734
"119",2,119,0.127183801326123,0,NA,NA,0.110941115345933,-0.105308064069536,-0.0161776773526535,0.0107559695189389,-0.0809633997485319,-0.0123710853258313,-0.0358033385404678
"120",2,120,0.304836696280051,0,NA,NA,0.219661672530547,0.0376999556705492,-0.05653225361559,-0.0179796215266425,-0.0060794089859953,-0.0221914363445313,-0.000745582184125935
"121",2,121,0.239949088032245,0,NA,NA,0.177968313828634,-0.030660529264597,0.0797469038481128,0.0757489581391014,0.0070804053175919,0.0579134371631747,-0.05012380371924
"122",2,122,0.316837776599395,0,NA,NA,0.158995360174574,0.117658096532428,0.013879956304222,-0.0630254866298213,0.0161786574806434,-0.0116581310108274,0.0471953902914665
"123",2,123,0.274103944133736,0,NA,NA,0.229452815541356,-0.0165551967287281,0.0267086382694019,-0.0721681855601767,0.0390301879281591,0.023582763800623,-0.0676482910435827
"124",2,124,0.143326650839136,0.0307450900714817,NA,NA,0.115729390498276,0.0603386518209712,0.106117042357665,0.0382068699259556,0.0519818781905026,0.0682230907995947,0.0474682202757308
"125",2,125,0.364635373570515,0,NA,NA,0.221890443639006,-0.174862727572539,0.0200498004438515,-0.0322315621441796,0.0655088135112526,-0.0368348233545315,0.0479078927572038
"126",2,126,0.315546770469382,0,NA,NA,0.212866580672948,-0.0390697960014598,-0.0857743304521351,-0.108412110081406,0.0191338570335633,0.0159355018088067,-0.0332055397049972
"127",2,127,0.176190098361802,0,NA,NA,0.133301291325764,-0.0591360755667176,-0.0174280566668788,0.0011484980536709,-0.082895737611278,-0.0281538905454288,-0.0242194286206878
"128",2,128,0.200268951533832,0.0698719276506586,NA,NA,0.31465843224087,-0.131789667469266,0.0841399021848686,0.0968046695423355,0.065842517528304,0.046935288585777,-0.00594049078301314
"129",2,129,0.300140559807664,0,NA,NA,0.272365326204172,0.0546733044581197,0.141708651553968,-0.0306044031359546,-0.0012031695435394,0.0735054643120685,-0.0288321143489298
"130",2,130,0.276517596189664,0,NA,NA,0.239698869906621,0.0662923590081176,0.046326688742618,-0.0661463523268918,-0.037781012202187,0.0190279810388042,0.0891159865999332
"131",2,131,0.355281786560557,0,NA,NA,0.30773730437372,0.156185077440653,-0.0350376680257544,0.0186024361623981,-0.0148115976140148,-0.0059729192877986,-0.034601512415294
"132",2,132,0.682956583949228,0,NA,NA,0.515124983220989,0.0068156837645795,-0.193483278406796,0.00773095379443005,0.0363890010542576,-0.00010279149236405,-0.0153389722419152
"133",2,133,0.362843891334778,0,NA,NA,0.317023874532243,-0.146068843131637,0.00865504370190201,-0.041428539043875,0.0474080184289778,-0.00441995687477975,-0.00018098465163755
"134",2,134,0.0694191774627667,0,NA,NA,0.161144887612641,0.00606820768221479,0.11782384598656,0.0565828571868796,0.0188620984179381,-0.0117029994707073,0.0207993532706165
"135",2,135,0.428412628917482,0,NA,NA,0.342859091989932,0.105215812508832,-0.0781634210630243,0.0437270757639831,-0.0503674627091571,0.0168516484563183,0.0190059588134813
"136",2,136,0.184311480398585,0,NA,NA,0.141165942551945,-0.0392033129770223,0.0444151203828793,0.0413334467850762,-0.0262604351446115,-0.023512219023628,0.0045883177596281
"137",2,137,0.117183773314975,0,NA,NA,0.101567034608805,-0.0751620545083894,0.0050753996778441,0.000548248669672301,-0.0353166063893364,-0.0248197642863966,-0.0133161946055896
"138",2,138,0.492083878565037,0,NA,NA,0.406842742391776,0.21299095467912,-0.0351299071921895,-0.0296265199273415,0.0098508699690093,-0.0142549617554182,0.0359529341123584
"139",2,139,0.120443873746396,0,NA,NA,0.503167233464261,0.305377865178584,-0.188000896911867,0.043374144575922,0.045869213545728,-0.0339328596051483,-0.0442049288856629
"140",2,140,0.50570162413841,0,NA,NA,0.253848137540242,0.153469021244687,-0.003167198643537,0.0423514480247748,0.0610163131549857,-0.0391336449126672,-0.00849180918930955
"141",2,141,0.209750149473098,0.171255770481674,NA,NA,0.291351205486272,0.0878618429226167,-0.0949045485210869,0.0737860556210189,0.0710720227798867,0.0226064760914928,-0.0331524949095338
"142",2,142,0.345656088525364,0.015504029035152,NA,NA,0.322172074190681,0.104280047672838,-0.181602220861407,0.039969642724034,0.0355018838025815,-0.0277709522461209,-0.0070084999151375
"143",2,143,0.470123631708319,0,NA,NA,0.293841713484794,-0.054083625196131,-0.0890698835711658,0.00388694614413577,-0.0328147413887203,0.0432947665586183,0.0252990805729331
