"","sp_rich","assemblage","cell_long","cell_lat","country","locality","avg_nnd","sd_nnd","hv3d","hv6d","cd","comp1_cen","comp2_cen","comp3_cen","comp4_cen","comp5_cen","comp6_cen"
"268",3,"18936082",-45.3665918682718,-22.4682437400408,"BR","Rio Água Limpa, afl. rio Sapucai, drenagem rio Grande",0.249642066170221,0.139680446560357,NA,NA,0.210762766732587,0.104025890819323,-0.0727738100614728,0.0366711132387365,0.0337009863585625,0.0286712265155376,-0.00460281534878311
"269",2,"18945080",-43.4181283197638,-22.4851766475574,"BR","Rio Santana na estrada Miguel Couto/ Paty dos Alfeires, localidade de Vera Cruz, a jusanteda cachoeira",0.397783980758891,0,NA,NA,0.229210717744184,0.195479239553653,-0.0468574779329645,-0.00723002579002632,0.0122132372423632,-0.0676851487804092,0.0083278477079195
"270",2,"18945083",-43.3870358163301,-22.4851766475574,"BR","Rio Santana na estrada Miguel Couto/ Paty dos Alfeires, localidade de Marques da Costa, a montante da cachoeira",0.246348749937422,0,NA,NA,0.187503088874841,0.112974883407232,0.00750669448529245,-0.0588484153752083,0.0310168696569613,0.0153495142430824,0.0131299176006575
"271",2,"18966646",-48.1752813451104,-22.5275177768466,"BR","",0.370716847772775,0,NA,NA,0.265783246755397,0.145221908947078,-0.012439126575464,0.0045582405444301,-0.0387698222846782,-0.00685357611694124,-0.051657362179449
"272",2,"18971038",-48.3100155266562,-22.5359875238377,"BR","",0.0624839580252144,0,NA,NA,0.230271487277142,0.00460705635155708,0.0179384528737488,0.0478665853841508,-0.119270861615513,0.00914648764042776,0.0167633943793079
"273",2,"18980165",-45.0245743305017,-22.5529285411462,"BR","rio Barrilha, tributário do rio Passa-Vinte, cerca de 3/4 de Km a SW da SP-052",0.0624839580252144,0,NA,NA,0.285303979564394,0.00460705635155708,0.0179384528737488,0.0478665853841508,-0.119270861615513,0.00914648764042776,0.0167633943793079
"274",2,"18989130",-43.4181283197638,-22.5698715913866,"BR","Rio Serra Velha na estrada Caminho do Comércio, afluente do rio Tinguá (REBIO Tinguá)",0.336124627255721,0,NA,NA,0.313261462228182,0.138222643368382,-0.0460360940719268,0.00360782890859345,-0.00603153413704727,-0.0230562389293225,-0.0180139317559839
"275",4,"18993379",-45.034938498313,-22.5783438795428,"BR","Rio Brejetuba, ca. 5.0 Km a NW da estrada Piquete/Cruzeiro em várzea Alegre.",0.160222829682925,0.11181957361722,7.11334309084877e-05,NA,0.19022960897549,0.0942843088325851,0.0598381377180426,-0.0096281690112749,-0.0407033547307311,0.00577398747674467,-0.0431597412979301
"276",3,"18997779",-45.086759337369,-22.5868166767563,"BR","Córrego do Bambuzinho, próximo à ponte da rua Mestre João Alcides.",0.215833129786428,0.209551966795093,NA,NA,0.315891885531403,0.154428452329947,0.0183624455383923,-0.000114445714670805,-0.00423786239591353,-0.0190341319371617,-0.0163980142465244
"277",3,"18997779",-45.086759337369,-22.5868166767563,"BR","Córrego do Bem Fica, afluente do Rio Piquete, próximo à residencia do Sr.Paulo Zacharias.",0.215833129786428,0.209551966795093,NA,NA,0.315891885531403,0.154428452329947,0.0183624455383923,-0.000114445714670805,-0.00423786239591353,-0.0190341319371617,-0.0163980142465244
"278",2,"19002181",-45.1178518408027,-22.5952899833021,"BR","Rio Passa Quatro, na fazenda Dom Bosco (afluente do rio Piquete).",0.217121149696714,0,NA,NA,0.314719444704934,0.246503227691705,-0.195497132632263,0.0075315572943381,0.0823444492729545,-0.0395031000816957,-0.0276697647384827
"279",2,"19011192",-43.0346541107489,-22.6122381254911,"BR","Rio Roncador, acima de Magé, ± 800m do viaduto da entrada para Santo Aleixo, na BR-116",0.229156436803081,0,NA,NA,0.347116856527162,0.261529459647579,-0.143191433733998,-0.000669329153691715,0.018553637537728,-0.0106034891891388,-0.00691064315685965
"280",2,"19028663",-44.5789151146196,-22.6461405339715,"BR","Rio Água Santa em São José do Barreiro.",0.397783980758891,0,NA,NA,0.235025820669112,0.195479239553653,-0.0468574779329645,-0.00723002579002632,0.0122132372423632,-0.0676851487804092,0.0083278477079195
"281",2,"19063931",-44.2887184159056,-22.7139699091499,"BR","Ribeirão dos Quadros, afl. do rio Turvo, no bairro dos Quadros",0.0807990534464228,0,NA,NA,0.282895151611059,0.200508745776519,-0.146916446130624,0.0479362144442287,-0.0278983393542606,-0.0108021677692973,-0.0645667403539676
"282",2,"19085842",-45.4702335463839,-22.7563799475269,"BR","",0.397783980758891,0,NA,NA,0.280262166170863,0.195479239553653,-0.0468574779329645,-0.00723002579002632,0.0122132372423632,-0.0676851487804092,0.0083278477079195
"283",2,"19099177",-44.2265334090383,-22.7818321466533,"BR","Rio do Braço, próximo da casa de força da PCH Rio do Braço",0.295171383429373,0,NA,NA,0.265245919910097,0.125136489954104,0.0058996390231541,-0.0162514419300533,-0.0211900667011567,-0.0191981410736204,-0.0381319630804567
"284",3,"19116785",-44.3509034227729,-22.815775633165,"BR","Rio do Braço, na Cachoeira do rio do Braço, próximo da EEB",0.238619523801127,0.131477319934632,NA,NA,0.283125312996668,0.108427912386818,-0.111305472852891,0.0231560515133844,-0.00405871746539348,-0.00158489433936981,-0.0238769553504057
"285",3,"19116785",-44.3509034227729,-22.815775633165,"BR","Rio do Braço, na Cachoeira do Rio do Braço, próximo à Estação Ecológica do Bananal",0.238619523801127,0.131477319934632,NA,NA,0.283125312996668,0.108427912386818,-0.111305472852891,0.0231560515133844,-0.00405871746539348,-0.00158489433936981,-0.0238769553504057
"286",2,"19134498",-43.3870358163301,-22.849727388591,"BR","Hills in vicinity of Rio de Janeiro.",0.295171383429373,0,NA,NA,0.332193552237684,0.125136489954104,0.0058996390231541,-0.0162514419300533,-0.0211900667011567,-0.0191981410736204,-0.0381319630804567
"287",2,"19138856",-43.8741517034571,-22.8582166215561,"BR","rio Mazomba, entre Mazombinha e Mazomba",0.272813788861387,0,NA,NA,0.388663633802264,0.132716998911331,-0.0078450129435762,-0.0176479325512526,-0.0155927536405887,-0.00341109426491485,-0.0119349668042142
